date,product,region,units_sold,revenue
2025-01-07,Keyboard,North,2.0,3040.57
2025-01-07,Laptop,North,1.0,41385.5
2025-01-07,Laptop,South,2.0,90915.59
2025-01-07,Laptop,East,2.0,97592.14
2025-01-07,Laptop,West,2.0,93967.38
2025-01-07,Keyboard,South,1.0,1496.23
2025-01-07,Mouse,South,5.0,3723.44
2025-01-07,Mouse,East,1.0,773.97
2025-01-07,Mouse,West,2.0,1561.03
2025-01-07,Mouse,North,4.0,3059.9
2025-01-08,Keyboard,East,2.0,3025.59
2025-01-08,Headphones,East,2.0,4938.56
2025-01-08,Headphones,South,4.0,9172.57
2025-01-08,Headphones,North,2.0,4746.97
2025-01-08,Monitor,West,2.0,25313.03
2025-01-08,Monitor,East,5.0,60167.17
2025-01-08,Monitor,South,4.0,49416.66
2025-01-08,Monitor,North,3.0,39207.89
2025-01-08,Keyboard,West,3.0,4688.0
2025-01-08,Headphones,West,4.0,9863.64
2025-01-08,Keyboard,South,5.0,7641.49
2025-01-08,Mouse,West,3.0,2448.24
2025-01-08,Mouse,East,2.0,1720.78
2025-01-08,Mouse,South,4.0,3399.57
2025-01-08,Mouse,North,3.0,2461.13
2025-01-08,Laptop,West,5.0,225180.6
2025-01-08,Laptop,East,3.0,124333.3
2025-01-08,Laptop,South,5.0,236642.86
2025-01-08,Laptop,North,1.0,46222.84
2025-01-08,Keyboard,North,2.0,2933.36
2025-01-09,Headphones,West,2.0,4572.46
2025-01-09,Monitor,South,2.0,24739.12
2025-01-09,Monitor,East,1.0,10998.13
2025-01-09,Monitor,North,4.0,45405.45
2025-01-09,Headphones,North,3.0,6719.28
2025-01-09,Headphones,South,3.0,8136.17
2025-01-09,Headphones,East,5.0,12692.38
2025-01-09,Monitor,West,4.0,52235.25
2025-01-09,Keyboard,West,2.0,3073.41
2025-01-09,Mouse,West,4.0,3022.31
2025-01-09,Keyboard,South,3.0,4894.26
2025-01-09,Mouse,East,4.0,3440.64
2025-01-09,Mouse,South,2.0,1579.6
2025-01-09,Laptop,West,2.0,93034.26
2025-01-09,Laptop,East,3.0,129717.83
2025-01-09,Laptop,South,3.0,138487.52
2025-01-09,Laptop,North,1.0,42711.32
2025-01-09,Keyboard,East,2.0,2921.32
2025-01-10,Headphones,East,1.0,2324.36
2025-01-10,Headphones,South,8.0,20133.85
2025-01-10,Monitor,West,4.0,49964.36
2025-01-10,Monitor,East,5.0,61862.02
2025-01-10,Monitor,South,2.0,23910.68
2025-01-10,Monitor,North,4.0,52349.88
2025-01-10,Keyboard,West,2.0,2905.95
2025-01-10,Keyboard,East,2.0,2985.59
2025-01-10,Headphones,West,1.0,2562.63
2025-01-10,Keyboard,North,1.0,1513.43
2025-01-10,Laptop,North,4.0,181762.61
2025-01-10,Laptop,South,4.0,171194.65
2025-01-10,Laptop,West,4.0,170966.18
2025-01-10,Keyboard,South,2.0,3384.01
2025-01-10,Mouse,South,2.0,1485.25
2025-01-10,Mouse,East,2.0,1646.48
2025-01-10,Mouse,West,4.0,3215.25
2025-01-10,Mouse,North,4.0,3281.65
2025-01-11,Monitor,North,1.0,11681.4
2025-01-11,Headphones,East,1.0,2724.32
2025-01-11,Headphones,South,2.0,4991.72
2025-01-11,Headphones,North,7.0,17160.76
2025-01-11,Monitor,West,3.0,34896.98
2025-01-11,Monitor,East,5.0,56479.29
2025-01-11,Monitor,South,2.0,23551.92
2025-01-11,Headphones,West,2.0,4129.8
2025-01-11,Keyboard,West,6.0,8713.02
2025-01-11,Keyboard,South,5.0,7437.85
2025-01-11,Mouse,East,2.0,1535.62
2025-01-11,Mouse,South,9.0,7091.87
2025-01-11,Mouse,North,7.0,5898.33
2025-01-11,Laptop,West,1.0,45185.14
2025-01-11,Laptop,South,6.0,243949.26
2025-01-11,Laptop,North,3.0,137784.85
2025-01-11,Keyboard,East,5.0,7190.41
2025-01-12,Keyboard,West,3.0,4752.42
2025-01-12,Monitor,North,2.0,25572.65
2025-01-12,Monitor,South,5.0,62693.67
2025-01-12,Headphones,West,5.0,12734.36
2025-01-12,Headphones,North,6.0,15257.04
2025-01-12,Headphones,South,5.0,12785.47
2025-01-12,Keyboard,East,5.0,7475.34
2025-01-12,Monitor,East,1.0,11876.06
2025-01-12,Keyboard,South,7.0,11321.9
2025-01-12,Mouse,North,6.0,4442.55
2025-01-12,Mouse,West,1.0,785.48
2025-01-12,Mouse,East,5.0,4055.8
2025-01-12,Mouse,South,2.0,1592.38
2025-01-12,Keyboard,North,3.0,4539.29
2025-01-12,Laptop,West,3.0,140519.83
2025-01-12,Laptop,East,2.0,90660.21
2025-01-12,Laptop,South,13.0,580111.8
2025-01-12,Laptop,North,6.0,258251.99
2025-01-13,Headphones,West,5.0,11733.9
2025-01-13,Headphones,South,1.0,2570.53
2025-01-13,Headphones,North,5.0,11795.11
2025-01-13,Monitor,West,4.0,46838.67
2025-01-13,Monitor,East,6.0,69654.9
2025-01-13,Monitor,South,5.0,61073.78
2025-01-13,Monitor,North,1.0,13087.19
2025-01-13,Keyboard,East,2.0,2933.25
2025-01-13,Keyboard,South,3.0,4388.97
2025-01-13,Laptop,North,2.0,86591.7
2025-01-13,Mouse,West,2.0,1578.47
2025-01-13,Mouse,East,2.0,1598.19
2025-01-13,Mouse,South,2.0,1792.16
2025-01-13,Mouse,North,4.0,3120.66
2025-01-13,Laptop,West,1.0,50562.63
2025-01-13,Laptop,East,2.0,87063.19
2025-01-13,Laptop,South,1.0,46891.45
2025-01-13,Keyboard,North,1.0,1493.54
2025-01-14,Keyboard,West,1.0,1554.57
2025-01-14,Monitor,South,3.0,36093.5
2025-01-14,Monitor,East,1.0,12083.61
2025-01-14,Keyboard,East,5.0,8278.78
2025-01-14,Headphones,South,2.0,5069.14
2025-01-14,Headphones,East,3.0,7255.98
2025-01-14,Headphones,West,7.0,17672.87
2025-01-14,Monitor,West,5.0,61357.6
2025-01-14,Keyboard,South,1.0,1475.88
2025-01-14,Laptop,North,1.0,41705.16
2025-01-14,Mouse,West,3.0,2148.58
2025-01-14,Mouse,East,3.0,2389.58
2025-01-14,Mouse,South,2.0,1629.94
2025-01-14,Mouse,North,3.0,2540.73
2025-01-14,Laptop,West,3.0,134827.51
2025-01-14,Laptop,East,5.0,207265.59
2025-01-14,Laptop,South,7.0,325274.09
2025-01-14,Keyboard,North,4.0,6076.25
2025-01-15,Monitor,North,3.0,35822.99
2025-01-15,Monitor,South,3.0,34231.52
2025-01-15,Monitor,East,2.0,23730.44
2025-01-15,Monitor,West,2.0,22088.41
2025-01-15,Headphones,West,4.0,9582.33
2025-01-15,Headphones,South,6.0,13948.05
2025-01-15,Headphones,East,4.0,10874.79
2025-01-15,Keyboard,West,2.0,2746.06
2025-01-15,Headphones,North,4.0,10220.24
2025-01-15,Keyboard,East,2.0,3042.18
2025-01-15,Laptop,East,6.0,274438.29
2025-01-15,Keyboard,North,3.0,4495.51
2025-01-15,Laptop,North,3.0,138032.29
2025-01-15,Laptop,South,2.0,89711.38
2025-01-15,Laptop,West,6.0,267663.53
2025-01-15,Keyboard,South,6.0,9341.52
2025-01-15,Mouse,South,3.0,2244.82
2025-01-15,Mouse,East,1.0,775.96
2025-01-15,Mouse,West,5.0,3909.15
2025-01-15,Mouse,North,2.0,1601.25
2025-01-16,Headphones,West,6.0,14868.78
2025-01-16,Keyboard,East,2.0,3291.98
2025-01-16,Headphones,South,4.0,10194.29
2025-01-16,Headphones,North,1.0,2388.78
2025-01-16,Monitor,West,4.0,45430.57
2025-01-16,Monitor,East,2.0,25472.46
2025-01-16,Monitor,South,4.0,48180.45
2025-01-16,Monitor,North,6.0,72292.6
2025-01-16,Keyboard,West,4.0,5725.51
2025-01-16,Headphones,East,6.0,16869.75
2025-01-16,Keyboard,South,5.0,7760.62
2025-01-16,Mouse,West,2.0,1602.73
2025-01-16,Mouse,East,2.0,1583.71
2025-01-16,Mouse,South,2.0,1569.67
2025-01-16,Mouse,North,4.0,3462.26
2025-01-16,Laptop,West,3.0,129575.2
2025-01-16,Laptop,East,2.0,97305.28
2025-01-16,Laptop,South,1.0,47755.31
2025-01-16,Laptop,North,4.0,199306.34
2025-01-16,Keyboard,North,2.0,2884.5
2025-01-17,Keyboard,West,3.0,4236.72
2025-01-17,Monitor,North,3.0,32756.44
2025-01-17,Monitor,South,2.0,25035.72
2025-01-17,Keyboard,East,5.0,7501.14
2025-01-17,Headphones,North,5.0,11274.9
2025-01-17,Headphones,South,2.0,5515.14
2025-01-17,Headphones,East,1.0,2478.38
2025-01-17,Monitor,East,2.0,23044.27
2025-01-17,Keyboard,South,2.0,3024.09
2025-01-17,Headphones,West,4.0,10855.85
2025-01-17,Mouse,West,2.0,1554.91
2025-01-17,Laptop,North,2.0,86599.15
2025-01-17,Laptop,South,6.0,288767.8
2025-01-17,Laptop,East,2.0,92510.15
2025-01-17,Keyboard,North,1.0,1469.18
2025-01-17,Mouse,North,4.0,3284.75
2025-01-17,Mouse,South,2.0,1722.46
2025-01-17,Mouse,East,1.0,848.75
2025-01-17,Laptop,West,2.0,90254.92
2025-01-18,Keyboard,West,5.0,8174.73
2025-01-18,Headphones,East,5.0,12705.41
2025-01-18,Headphones,South,6.0,14511.48
2025-01-18,Headphones,North,3.0,7649.88
2025-01-18,Monitor,West,7.0,85116.77
2025-01-18,Monitor,East,3.0,36547.43
2025-01-18,Monitor,South,2.0,22676.15
2025-01-18,Monitor,North,3.0,39701.17
2025-01-18,Keyboard,East,5.0,8045.86
2025-01-18,Headphones,West,3.0,7837.59
2025-01-18,Keyboard,North,2.0,3091.07
2025-01-18,Laptop,North,6.0,268807.37
2025-01-18,Laptop,South,6.0,282438.22
2025-01-18,Laptop,East,3.0,133454.37
2025-01-18,Laptop,West,2.0,90405.19
2025-01-18,Keyboard,South,2.0,3196.67
2025-01-18,Mouse,South,3.0,2283.41
2025-01-18,Mouse,East,1.0,847.43
2025-01-18,Mouse,West,1.0,828.76
2025-01-18,Mouse,North,1.0,746.11
2025-01-19,Keyboard,South,1.0,1598.43
2025-01-19,Headphones,East,6.0,14855.92
2025-01-19,Headphones,South,3.0,7059.57
2025-01-19,Monitor,East,5.0,55767.53
2025-01-19,Monitor,South,1.0,12349.26
2025-01-19,Monitor,North,7.0,89128.34
2025-01-19,Keyboard,West,1.0,1433.55
2025-01-19,Keyboard,East,6.0,8805.69
2025-01-19,Headphones,West,2.0,5347.62
2025-01-19,Keyboard,North,7.0,10496.3
2025-01-19,Mouse,East,3.0,2333.78
2025-01-19,Mouse,South,5.0,4067.74
2025-01-19,Mouse,North,5.0,4117.81
2025-01-19,Laptop,West,3.0,139375.89
2025-01-19,Laptop,East,3.0,129701.94
2025-01-19,Laptop,South,5.0,220243.37
2025-01-19,Laptop,North,3.0,143693.88
2025-01-19,Mouse,West,1.0,902.33
2025-01-20,Keyboard,West,2.0,2932.56
2025-01-20,Monitor,North,2.0,24455.38
2025-01-20,Monitor,South,1.0,13086.9
2025-01-20,Monitor,East,4.0,42328.96
2025-01-20,Headphones,East,3.0,7364.82
2025-01-20,Headphones,North,3.0,7264.32
2025-01-20,Headphones,South,1.0,2575.31
2025-01-20,Headphones,West,3.0,7691.78
2025-01-20,Monitor,West,2.0,22788.32
2025-01-20,Keyboard,East,1.0,1547.47
2025-01-20,Keyboard,North,4.0,5666.88
2025-01-20,Mouse,West,2.0,1606.99
2025-01-20,Mouse,East,4.0,3239.53
2025-01-20,Mouse,South,2.0,1598.88
2025-01-20,Mouse,North,2.0,1557.91
2025-01-20,Laptop,West,3.0,129418.56
2025-01-20,Laptop,East,1.0,43024.54
2025-01-20,Laptop,South,3.0,137037.1
2025-01-20,Laptop,North,5.0,213768.16
2025-01-20,Keyboard,South,5.0,7712.65
2025-01-21,Keyboard,West,4.0,5964.58
2025-01-21,Monitor,North,3.0,34982.49
2025-01-21,Monitor,South,4.0,47014.3
2025-01-21,Headphones,West,7.0,17738.61
2025-01-21,Monitor,West,1.0,12712.61
2025-01-21,Headphones,North,2.0,4872.7
2025-01-21,Keyboard,East,5.0,7993.92
2025-01-21,Monitor,East,5.0,56462.88
2025-01-21,Keyboard,South,3.0,5082.65
2025-01-21,Headphones,South,4.0,10388.77
2025-01-21,Mouse,West,6.0,4857.9
2025-01-21,Laptop,North,1.0,45187.53
2025-01-21,Laptop,South,2.0,93965.78
2025-01-21,Laptop,East,4.0,163523.08
2025-01-21,Keyboard,North,3.0,4767.16
2025-01-21,Mouse,North,3.0,2359.83
2025-01-21,Mouse,South,3.0,2351.56
2025-01-21,Mouse,East,2.0,1615.32
2025-01-21,Laptop,West,6.0,272708.8
2025-01-22,Keyboard,West,3.0,4559.66
2025-01-22,Headphones,East,1.0,2324.21
2025-01-22,Headphones,North,2.0,5048.65
2025-01-22,Monitor,West,6.0,69758.46
2025-01-22,Monitor,East,3.0,39149.25
2025-01-22,Monitor,South,5.0,63665.4
2025-01-22,Monitor,North,5.0,61925.79
2025-01-22,Headphones,West,2.0,4979.22
2025-01-22,Keyboard,East,4.0,5805.2
2025-01-22,Mouse,East,3.0,2364.45
2025-01-22,Mouse,South,2.0,1449.18
2025-01-22,Mouse,North,2.0,1557.86
2025-01-22,Laptop,West,3.0,140998.47
2025-01-22,Laptop,East,4.0,179185.2
2025-01-22,Laptop,South,5.0,218977.56
2025-01-22,Laptop,North,2.0,92926.72
2025-01-22,Keyboard,North,6.0,9330.44
2025-01-23,Monitor,North,2.0,21963.48
2025-01-23,Monitor,South,2.0,23225.32
2025-01-23,Monitor,West,4.0,51089.58
2025-01-23,Headphones,West,1.0,2597.46
2025-01-23,Headphones,South,4.0,9125.73
2025-01-23,Headphones,East,2.0,4922.99
2025-01-23,Keyboard,West,4.0,6227.68
2025-01-23,Headphones,North,7.0,18194.3
2025-01-23,Keyboard,East,5.0,7577.52
2025-01-23,Monitor,East,2.0,25026.55
2025-01-23,Keyboard,North,2.0,3228.21
2025-01-23,Laptop,South,4.0,174802.23
2025-01-23,Laptop,East,2.0,90465.95
2025-01-23,Laptop,West,4.0,160540.03
2025-01-23,Mouse,North,2.0,1666.51
2025-01-23,Laptop,North,1.0,47440.08
2025-01-23,Mouse,South,6.0,4756.45
2025-01-23,Mouse,East,1.0,864.49
2025-01-23,Mouse,West,1.0,835.87
2025-01-23,Keyboard,South,1.0,1463.18
2025-01-24,Keyboard,West,4.0,5948.44
2025-01-24,Headphones,East,6.0,16030.83
2025-01-24,Headphones,South,4.0,9702.17
2025-01-24,Headphones,North,5.0,13045.73
2025-01-24,Monitor,West,3.0,34802.13
2025-01-24,Monitor,East,5.0,58296.88
2025-01-24,Monitor,South,2.0,23963.83
2025-01-24,Monitor,North,6.0,68010.61
2025-01-24,Keyboard,East,1.0,1453.44
2025-01-24,Headphones,West,4.0,9902.55
2025-01-24,Keyboard,North,3.0,4600.74
2025-01-24,Laptop,North,3.0,123636.79
2025-01-24,Laptop,South,3.0,129560.38
2025-01-24,Laptop,East,3.0,131801.58
2025-01-24,Keyboard,South,5.0,7204.58
2025-01-24,Mouse,South,2.0,1579.3
2025-01-24,Mouse,East,2.0,1727.89
2025-01-24,Mouse,West,6.0,4774.25
2025-01-24,Laptop,West,3.0,134902.45
2025-01-25,Keyboard,West,2.0,2893.56
2025-01-25,Headphones,East,1.0,2421.73
2025-01-25,Headphones,South,1.0,2381.56
2025-01-25,Headphones,North,4.0,10167.62
2025-01-25,Monitor,West,6.0,74815.86
2025-01-25,Monitor,East,6.0,68020.73
2025-01-25,Monitor,South,5.0,56282.22
2025-01-25,Monitor,North,6.0,74287.5
2025-01-25,Headphones,West,2.0,5003.84
2025-01-25,Keyboard,East,2.0,2975.8
2025-01-25,Keyboard,North,1.0,1357.98
2025-01-25,Mouse,West,2.0,1598.08
2025-01-25,Mouse,East,6.0,4603.14
2025-01-25,Mouse,South,5.0,4171.32
2025-01-25,Laptop,West,4.0,175179.48
2025-01-25,Laptop,East,4.0,177827.27
2025-01-25,Laptop,South,6.0,296420.36
2025-01-25,Laptop,North,2.0,95101.97
2025-01-25,Keyboard,South,1.0,1516.0
2025-01-26,Monitor,North,4.0,43814.76
2025-01-26,Monitor,South,1.0,12071.41
2025-01-26,Monitor,East,2.0,23725.68
2025-01-26,Monitor,West,5.0,57016.95
2025-01-26,Headphones,West,2.0,5387.26
2025-01-26,Headphones,South,4.0,10359.09
2025-01-26,Headphones,East,4.0,10050.93
2025-01-26,Keyboard,West,5.0,7161.73
2025-01-26,Headphones,North,5.0,12947.11
2025-01-26,Keyboard,East,5.0,7641.15
2025-01-26,Mouse,West,4.0,3180.0
2025-01-26,Keyboard,North,2.0,2932.01
2025-01-26,Laptop,South,1.0,43048.96
2025-01-26,Laptop,East,4.0,182363.05
2025-01-26,Laptop,West,5.0,227177.89
2025-01-26,Laptop,North,1.0,46856.47
2025-01-26,Mouse,South,8.0,6138.75
2025-01-26,Mouse,East,2.0,1632.63
2025-01-26,Keyboard,South,5.0,8044.68
2025-01-26,Mouse,North,6.0,4925.34
2025-01-27,Keyboard,East,2.0,3126.23
2025-01-27,Headphones,North,3.0,8022.18
2025-01-27,Monitor,West,7.0,84173.79
2025-01-27,Monitor,East,2.0,24195.29
2025-01-27,Monitor,South,7.0,86471.92
2025-01-27,Monitor,North,2.0,23484.91
2025-01-27,Keyboard,West,3.0,4361.03
2025-01-27,Keyboard,South,3.0,4970.15
2025-01-27,Headphones,South,3.0,7940.73
2025-01-27,Mouse,West,3.0,2536.82
2025-01-27,Mouse,East,3.0,2459.79
2025-01-27,Mouse,South,1.0,775.35
2025-01-27,Mouse,North,6.0,4497.56
2025-01-27,Laptop,West,2.0,82605.65
2025-01-27,Laptop,East,1.0,44767.68
2025-01-27,Laptop,South,3.0,136646.68
2025-01-27,Laptop,North,4.0,181560.07
2025-01-27,Keyboard,North,5.0,7186.82
2025-01-28,Headphones,West,2.0,4878.19
2025-01-28,Headphones,South,2.0,5086.92
2025-01-28,Headphones,North,3.0,7777.72
2025-01-28,Monitor,West,5.0,63111.14
2025-01-28,Monitor,East,1.0,12266.33
2025-01-28,Monitor,South,2.0,23560.52
2025-01-28,Monitor,North,6.0,70953.93
2025-01-28,Keyboard,West,6.0,9350.67
2025-01-28,Mouse,West,1.0,738.95
2025-01-28,Mouse,East,3.0,2328.93
2025-01-28,Mouse,South,6.0,5086.07
2025-01-28,Mouse,North,2.0,1474.69
2025-01-28,Laptop,West,2.0,86589.03
2025-01-28,Laptop,South,3.0,127681.71
2025-01-28,Laptop,North,3.0,130304.22
2025-01-28,Keyboard,East,2.0,3004.89
2025-01-29,Monitor,North,4.0,42831.98
2025-01-29,Monitor,South,2.0,25316.58
2025-01-29,Headphones,West,3.0,7849.49
2025-01-29,Monitor,East,4.0,49640.57
2025-01-29,Headphones,East,2.0,4824.09
2025-01-29,Headphones,North,1.0,2277.97
2025-01-29,Headphones,South,3.0,7653.24
2025-01-29,Keyboard,West,4.0,5892.89
2025-01-29,Monitor,West,3.0,33541.28
2025-01-29,Keyboard,East,3.0,4158.48
2025-01-29,Mouse,South,3.0,2219.63
2025-01-29,Keyboard,North,5.0,7737.6
2025-01-29,Laptop,North,3.0,139585.77
2025-01-29,Laptop,South,4.0,169660.85
2025-01-29,Laptop,East,3.0,144853.19
2025-01-29,Keyboard,South,2.0,3013.2
2025-01-29,Mouse,North,5.0,4130.09
2025-01-29,Mouse,East,6.0,4995.86
2025-01-29,Mouse,West,5.0,3985.16
2025-01-29,Laptop,West,2.0,82259.54
2025-01-30,Keyboard,West,4.0,5986.96
2025-01-30,Headphones,West,4.0,10236.0
2025-01-30,Headphones,South,2.0,4827.36
2025-01-30,Headphones,North,3.0,7206.09
2025-01-30,Monitor,West,3.0,38486.62
2025-01-30,Monitor,East,3.0,39149.25
2025-01-30,Monitor,South,3.0,35686.16
2025-01-30,Monitor,North,4.0,47943.47
2025-01-30,Keyboard,East,6.0,8896.77
2025-01-30,Headphones,East,4.0,10249.84
2025-01-30,Keyboard,North,5.0,7745.85
2025-01-30,Keyboard,South,3.0,4154.28
2025-01-30,Laptop,South,1.0,43886.74
2025-01-30,Laptop,East,3.0,126033.87
2025-01-30,Laptop,West,2.0,90348.63
2025-01-30,Laptop,North,5.0,242103.82
2025-01-30,Mouse,South,2.0,1546.98
2025-01-30,Mouse,East,3.0,2334.4
2025-01-30,Mouse,West,4.0,3156.54
2025-01-30,Mouse,North,4.0,3067.44
2025-01-31,Headphones,West,2.0,4805.09
2025-01-31,Headphones,South,2.0,5229.61
2025-01-31,Headphones,North,1.0,2621.98
2025-01-31,Monitor,West,2.0,24641.73
2025-01-31,Monitor,East,4.0,45629.26
2025-01-31,Monitor,South,4.0,42863.36
2025-01-31,Monitor,North,4.0,50555.7
2025-01-31,Keyboard,West,6.0,9239.77
2025-01-31,Keyboard,East,2.0,2678.28
2025-01-31,Mouse,West,1.0,832.53
2025-01-31,Keyboard,North,1.0,1559.28
2025-01-31,Mouse,East,3.0,2249.22
2025-01-31,Mouse,South,1.0,723.21
2025-01-31,Mouse,North,3.0,2403.05
2025-01-31,Laptop,West,3.0,146605.8
2025-01-31,Laptop,East,5.0,218184.07
2025-01-31,Laptop,South,3.0,133587.13
2025-01-31,Laptop,North,2.0,93074.98
2025-01-31,Keyboard,South,3.0,4576.51
2025-02-01,Monitor,North,5.0,59283.26
2025-02-01,Headphones,South,4.0,9682.32
2025-02-01,Monitor,West,1.0,12564.42
2025-02-01,Headphones,West,4.0,9405.17
2025-02-01,Monitor,East,3.0,35503.74
2025-02-01,Monitor,South,3.0,38574.28
2025-02-01,Keyboard,West,1.0,1571.89
2025-02-01,Laptop,West,3.0,149096.99
2025-02-01,Keyboard,North,1.0,1482.4
2025-02-01,Mouse,West,1.0,834.34
2025-02-01,Mouse,South,1.0,836.97
2025-02-01,Mouse,North,1.0,813.11
2025-02-01,Laptop,East,1.0,47298.11
2025-02-01,Laptop,North,2.0,88704.48
2025-02-01,Keyboard,East,1.0,1652.15
2025-02-02,Headphones,South,1.0,2651.85
2025-02-02,Headphones,North,3.0,7195.78
2025-02-02,Monitor,West,2.0,25393.68
